Lima,1837,2100,3016,3704,4210,4933,5456,7458,7476,8412,9107,9793,10234,10877,11297,12256,13214,14300,14814,16567,17884,18571,20048,21854,23561,25718,26908,28990,29842,32339,35299,37606,39837
Loreto,171,206,290,315,315,315,322,340,357,396,412,431,485,552,585,617,653,700,708,742,786,827,881,1003,1202,1355,1425,1502,1502,1595,1559,1666,1704
Callao,109,161,320,413,465,541,596,733,908,939,1008,1080,1180,1239,1282,1369,1416,1536,1591,2436,2615,2672,2933,3101,3219,3458,3543,3893,3979,4245,4404,4678,4968
Lambayeque,100,108,246,302,302,326,355,392,427,428,571,600,642,671,675,741,864,968,974,1388,1602,1651,1814,1956,2176,2360,2548,2646,2763,3008,3127,3268,3479
Piura,30,35,41,53,68,91,104,120,224,229,233,264,344,420,436,475,514,568,585,669,790,816,960,1080,1207,1396,1492,1618,1752,1804,1914,2214,2258
Cusco,54,54,54,55,57,58,59,59,106,108,109,112,123,130,130,132,147,158,160,174,182,196,202,203,212,221,221,230,234,249,258,280,328
Arequipa,60,66,74,77,83,85,86,98,99,98,111,134,146,192,229,273,276,291,311,364,396,479,501,529,571,624,655,692,692,763,790,814,854
Junín,28,28,42,42,56,58,64,68,68,79,79,101,130,150,155,178,207,206,219,257,284,290,331,373,394,436,451,506,524,587,632,655,689
La Libertad,56,58,82,96,101,108,110,115,166,184,193,194,211,232,253,303,318,391,410,481,503,553,585,615,668,720,798,879,965,1062,1119,1206,1275
Tumbes,26,27,27,27,27,68,69,72,69,82,85,86,86,183,184,198,205,233,234,240,250,250,275,290,310,326,336,347,347,378,443,451,461
Ancash,27,36,50,57,67,88,102,110,124,144,171,189,217,251,275,334,365,352,361,464,506,547,598,630,693,822,907,993,1014,1159,1256,1307,1390
Ica,18,24,28,34,37,47,58,58,76,101,106,119,124,141,145,195,213,248,258,268,284,339,353,401,550,580,584,676,688,698,708,860,884
Huánuco,6,6,7,9,9,9,10,15,15,39,42,45,64,83,83,91,114,116,116,160,167,167,168,169,189,206,233,248,248,255,259,293,323
San Martín,8,8,11,15,18,20,23,23,23,48,47,49,81,94,94,100,107,111,117,121,151,166,178,205,238,248,265,282,296,303,317,334,394
Ayacucho,5,5,5,7,9,13,11,11,15,22,23,23,29,33,35,38,38,39,40,45,53,60,72,80,95,104,117,135,143,181,176,189,203
Cajamarca,6,6,10,11,11,11,11,11,19,20,22,38,52,61,62,73,78,90,92,105,128,141,156,162,170,201,224,259,268,322,301,316,328
Madre de Dios,2,2,2,3,3,4,3,10,19,19,19,21,21,25,64,66,71,77,80,91,94,87,97,105,113,116,118,120,121,124,129,138,139
Pasco,5,5,5,5,8,9,11,11,11,11,11,13,13,18,32,39,46,48,61,68,78,82,90,95,113,122,148,161,162,166,151,151,158
Tacna,9,9,9,9,9,9,9,9,9,10,14,20,28,35,35,42,44,50,59,67,68,71,77,94,111,126,128,141,141,149,160,166,166
Huancavelica,2,7,7,7,7,7,9,10,10,11,11,17,18,20,21,16,19,21,23,33,40,48,57,75,88,109,133,186,199,203,181,176,178
Apurímac,1,1,1,1,3,3,5,5,10,20,22,32,35,35,40,42,46,52,53,63,68,69,64,66,78,83,86,90,100,111,84,90,92
Moquegua,1,1,3,3,3,8,10,12,13,16,21,24,28,30,30,41,48,52,57,73,92,94,100,111,120,123,128,131,133,142,149,155,160
Puno,0,1,1,1,1,1,2,2,2,2,2,2,5,8,8,11,15,33,34,65,69,69,88,89,105,116,124,135,142,144,149,158,164
Amazonas,0,0,11,10,16,22,19,25,25,25,23,46,51,51,55,58,60,64,65,67,78,84,108,119,122,129,136,155,164,170,176,186,207
Ucayali,0,0,0,0,12,14,15,17,32,32,49,56,73,97,120,149,172,210,226,323,349,370,454,526,671,760,826,913,953,1032,1076,1169,1208
